aX,aY,aZ,gX,gY,gZ
0.329,0.259,0.059,-38.635,-3.540,-21.667
0.362,0.228,0.094,-36.865,-7.568,-20.935
0.373,0.198,0.121,-34.790,-11.597,-20.142
0.413,0.219,0.128,-33.386,-14.343,-19.104
0.460,0.242,0.117,-32.410,-15.564,-19.592
0.489,0.183,0.088,-32.532,-14.832,-21.545
0.501,0.115,0.047,-32.410,-13.428,-22.461
0.488,0.072,0.004,-32.715,-14.709,-21.057
0.514,0.049,-0.020,-33.813,-19.043,-18.372
0.553,0.059,-0.022,-35.278,-23.926,-15.869
0.621,0.080,-0.011,-36.499,-29.724,-15.320
0.659,0.100,0.019,-36.438,-34.790,-16.968
0.709,0.104,0.050,-35.034,-38.208,-18.799
0.762,0.098,0.077,-32.593,-39.978,-20.447
0.798,0.074,0.098,-30.701,-40.955,-22.034
0.878,0.067,0.112,-29.297,-41.138,-22.827
0.924,0.103,0.114,-29.114,-41.504,-23.560
0.980,0.118,0.120,-30.701,-42.786,-26.245
1.007,0.091,0.167,-32.104,-43.396,-29.419
1.055,0.086,0.230,-32.776,-43.579,-30.945
1.125,0.107,0.260,-31.433,-42.725,-33.997
1.184,0.091,0.312,-29.053,-39.551,-38.452
1.199,0.062,0.319,-27.649,-36.377,-43.091
1.230,0.019,0.314,-27.466,-32.532,-47.241
1.221,-0.046,0.311,-26.733,-29.968,-51.147
1.222,-0.108,0.335,-25.330,-28.137,-53.101
1.218,-0.136,0.349,-24.109,-27.100,-53.589
1.233,-0.150,0.353,-23.865,-25.635,-52.673
1.254,-0.182,0.352,-26.001,-23.376,-49.866
1.285,-0.223,0.352,-27.893,-18.921,-45.105
1.277,-0.251,0.351,-26.367,-13.672,-40.833
1.276,-0.255,0.350,-24.231,-9.521,-37.292
1.245,-0.237,0.335,-21.912,-6.531,-35.767
1.218,-0.233,0.325,-20.508,-5.554,-36.255
1.199,-0.252,0.326,-20.264,-5.737,-36.804
1.195,-0.279,0.325,-20.142,-6.409,-36.377
1.200,-0.309,0.327,-19.165,-5.432,-33.630
1.198,-0.322,0.324,-16.846,-3.418,-30.518
1.186,-0.323,0.319,-13.123,-0.977,-27.588
1.152,-0.299,0.299,-9.583,0.732,-24.963
1.125,-0.276,0.274,-8.057,1.770,-22.522
1.107,-0.248,0.257,-6.958,2.930,-18.555
1.079,-0.212,0.241,-7.202,2.686,-14.771
1.064,-0.201,0.243,-7.690,1.526,-13.428
1.077,-0.215,0.250,-6.653,1.709,-14.038
1.068,-0.227,0.242,-6.104,3.723,-14.404
1.034,-0.221,0.221,-6.165,5.310,-13.062
1.012,-0.203,0.198,-6.775,5.432,-10.437
0.993,-0.176,0.186,-7.690,4.089,-7.629
0.991,-0.159,0.193,-8.118,1.770,-5.554
1.000,-0.152,0.207,-6.531,-0.671,-5.005
0.999,-0.146,0.210,-3.601,-2.808,-6.409
0.990,-0.162,0.217,-0.549,-5.005,-8.667
0.981,-0.172,0.215,2.747,-6.042,-9.888
0.961,-0.152,0.212,3.906,-6.714,-9.033
0.979,-0.121,0.219,3.540,-6.287,-7.446
0.975,-0.120,0.233,1.282,-3.296,-4.333
0.957,-0.112,0.219,-3.113,0.244,0.488
0.945,-0.106,0.203,-5.127,2.502,4.395
0.948,-0.087,0.201,-4.517,2.502,6.958
0.958,-0.051,0.214,-3.784,0.671,7.568
0.990,-0.017,0.237,-3.418,0.122,6.531
1.021,-0.025,0.261,-4.089,2.075,6.287
1.011,-0.031,0.254,-3.418,5.249,6.714
0.985,-0.021,0.226,-2.014,6.165,5.493
0.969,-0.013,0.213,-0.305,5.310,3.479
0.979,0.003,0.217,0.366,3.662,0.854

1.441,0.769,0.558,49.866,-44.983,75.378
1.552,0.808,0.600,48.950,-42.786,69.824
1.626,0.819,0.635,50.171,-38.330,63.965
1.665,0.835,0.665,51.697,-32.654,59.021
1.690,0.920,0.686,52.368,-26.917,55.664
1.752,1.016,0.722,50.415,-20.813,52.734
1.831,1.024,0.813,45.959,-15.564,47.913
1.802,1.090,0.755,38.208,-13.794,40.039
1.817,1.084,0.773,36.133,-4.272,36.438
1.773,1.072,0.749,32.532,8.179,34.912
1.725,1.041,0.737,22.827,15.625,32.532
1.661,1.026,0.714,14.893,23.682,30.945
1.585,0.991,0.694,9.583,28.381,24.780
1.533,0.925,0.689,9.155,33.752,18.677
1.424,0.881,0.649,8.301,36.011,11.597
1.367,0.821,0.659,8.850,38.879,5.432
1.298,0.793,0.649,8.911,41.748,-0.183
1.222,0.746,0.634,7.385,47.852,-3.540
1.150,0.701,0.607,3.967,55.725,-4.944
1.077,0.677,0.559,-2.075,62.683,-4.822
0.991,0.658,0.506,-8.423,67.749,-4.395
0.908,0.636,0.454,-13.367,70.190,-4.395
0.859,0.623,0.397,-16.541,70.251,-5.310
0.797,0.604,0.353,-18.372,69.763,-5.493
0.754,0.602,0.326,-20.630,68.970,-4.028
0.734,0.654,0.300,-21.851,67.810,-4.028
0.699,0.686,0.276,-23.010,68.054,-7.324
0.648,0.692,0.245,-24.658,69.702,-11.536
0.584,0.696,0.192,-29.480,70.618,-14.648
0.531,0.670,0.150,-35.156,70.007,-17.456
0.475,0.625,0.129,-38.696,67.566,-20.386
0.422,0.566,0.125,-39.856,62.805,-23.010
0.413,0.531,0.126,-38.391,56.702,-25.696
0.376,0.520,0.104,-36.133,49.438,-28.992
0.326,0.501,0.090,-36.316,43.213,-29.907
0.283,0.474,0.099,-38.147,36.743,-28.015
0.268,0.447,0.136,-38.757,30.334,-26.367
0.268,0.431,0.176,-36.804,25.757,-27.100
0.267,0.423,0.192,-33.386,23.804,-28.381
0.243,0.425,0.174,-30.518,24.109,-28.442
0.240,0.432,0.145,-30.518,25.024,-26.733
0.232,0.440,0.099,-31.250,25.452,-25.146
0.240,0.416,0.053,-33.325,24.902,-24.231
0.218,0.382,0.005,-35.400,23.560,-23.071
0.201,0.357,-0.033,-35.767,20.996,-20.691
0.203,0.364,-0.065,-34.668,15.686,-20.386
0.210,0.372,-0.069,-33.203,9.338,-21.606
0.242,0.366,-0.061,-33.020,3.662,-21.851
0.267,0.348,-0.049,-33.447,-1.465,-21.973
0.317,0.328,-0.015,-32.410,-4.700,-21.729
0.371,0.325,0.000,-29.602,-7.751,-23.132
0.383,0.296,0.002,-28.137,-10.498,-25.513
0.384,0.282,-0.016,-30.457,-11.963,-24.841
0.367,0.256,-0.029,-35.461,-12.268,-21.118
0.385,0.250,-0.023,-40.344,-13.000,-16.357
0.400,0.288,-0.044,-43.030,-15.869,-13.062
0.466,0.287,-0.059,-43.091,-20.142,-13.428
0.536,0.235,-0.050,-40.649,-23.743,-14.954
0.603,0.222,-0.042,-34.241,-27.649,-17.761
0.643,0.243,-0.037,-25.818,-32.837,-23.926
0.660,0.240,-0.005,-22.461,-37.781,-30.334
0.664,0.216,0.046,-24.414,-40.649,-32.471
0.673,0.208,0.067,-29.785,-42.419,-30.701
0.727,0.202,0.079,-35.278,-43.457,-28.687
0.809,0.155,0.115,-37.842,-44.617,-29.053
0.878,0.115,0.150,-35.950,-46.814,-32.166
0.928,0.101,0.166,-32.898,-49.500,-36.133
0.931,0.083,0.187,-31.128,-52.490,-39.429
0.937,0.048,0.214,-32.898,-54.260,-41.077
0.964,0.034,0.235,-36.804,-55.542,-40.100
1.007,0.025,0.254,-40.344,-57.434,-39.734
1.079,-0.019,0.293,-40.588,-58.105,-42.236
1.128,-0.082,0.313,-38.818,-56.885,-45.044
1.167,-0.114,0.326,-36.926,-54.443,-45.532
1.180,-0.138,0.336,-36.194,-50.598,-42.908
1.204,-0.127,0.352,-38.696,-44.800,-38.391
1.240,-0.127,0.360,-38.940,-40.039,-36.255
1.274,-0.112,0.359,-40.466,-36.499,-34.790
1.288,-0.146,0.371,-41.321,-35.278,-36.072
1.328,-0.211,0.413,-36.072,-33.875,-40.222
1.330,-0.240,0.429,-28.870,-33.752,-45.593
1.316,-0.250,0.435,-22.461,-32.288,-49.377
1.303,-0.250,0.434,-20.020,-29.114,-49.622
1.276,-0.248,0.415,-21.240,-25.940,-47.668
1.276,-0.290,0.395,-23.071,-23.071,-44.922
1.282,-0.335,0.383,-23.804,-19.897,-40.588
1.261,-0.325,0.358,-22.705,-17.944,-35.645
1.231,-0.309,0.340,-20.508,-18.005,-33.203
1.206,-0.304,0.340,-17.944,-18.250,-31.921
1.180,-0.294,0.341,-15.930,-17.883,-30.457
1.152,-0.256,0.328,-14.282,-16.907,-28.503
1.126,-0.243,0.319,-13.672,-16.357,-26.672
1.108,-0.273,0.325,-12.329,-15.503,-25.635
1.097,-0.294,0.339,-8.728,-14.099,-24.536
1.076,-0.272,0.333,-5.737,-11.475,-21.667
1.090,-0.256,0.360,-5.188,-8.423,-16.846
1.032,-0.187,0.307,-8.850,-7.385,-11.719
1.037,-0.187,0.325,-7.629,-4.456,-8.911
1.023,-0.146,0.308,-4.272,-3.113,-8.118
1.020,-0.115,0.295,-2.075,-2.563,-7.751
1.002,-0.098,0.279,0.366,-1.343,-7.812
0.984,-0.086,0.254,-0.366,-1.221,-7.324
0.956,-0.088,0.242,-1.831,-1.526,-5.127
0.953,-0.062,0.224,-3.967,-3.235,-3.052
0.944,-0.046,0.224,-6.348,-5.066,-1.221
0.953,-0.026,0.231,-8.179,-6.226,0.916
0.960,-0.030,0.260,-7.935,-6.714,1.953
0.988,-0.021,0.294,-4.883,-5.798,1.648
0.979,-0.007,0.298,-1.404,-4.456,0.610
0.983,0.000,0.304,0.610,-2.258,0.244
0.972,0.005,0.299,0.671,-0.916,-0.183
0.968,0.003,0.293,-0.916,0.000,0.366
0.955,0.013,0.275,-2.075,0.061,0.366
0.953,0.017,0.261,-2.502,-1.404,-0.671
0.949,0.010,0.261,-3.174,-3.479,-1.770
0.950,0.011,0.263,-2.930,-5.676,-2.747
0.953,-0.002,0.279,-2.441,-6.897,-2.991
0.950,-0.021,0.304,-1.892,-6.897,-2.441
0.956,-0.021,0.317,0.732,-6.165,-2.502

1.356,0.731,0.547,57.861,-44.617,64.270
1.387,0.751,0.569,53.711,-41.260,61.890
1.413,0.785,0.607,49.011,-36.072,62.744
1.454,0.853,0.651,45.776,-31.738,62.622
1.571,0.872,0.775,44.678,-28.381,58.899
1.547,0.963,0.716,40.771,-35.217,45.837
1.590,1.000,0.736,43.152,-31.250,38.025
1.630,0.920,0.813,47.791,-13.489,36.560
1.598,0.917,0.808,35.889,-11.780,31.189
1.549,0.865,0.835,27.039,-1.648,32.593
1.516,0.811,0.846,24.414,6.531,27.344
1.458,0.783,0.813,21.606,11.780,23.132
1.432,0.760,0.790,20.325,18.127,20.569
1.408,0.745,0.777,19.226,21.423,16.052
1.375,0.731,0.765,16.968,25.452,11.841
1.327,0.740,0.731,14.404,29.419,7.812
1.286,0.745,0.695,9.766,33.997,4.822
1.235,0.702,0.678,3.113,38.147,2.991
1.192,0.662,0.662,-3.906,42.542,2.686
1.150,0.634,0.634,-8.179,45.593,1.404
1.114,0.594,0.617,-8.850,48.706,-1.282
1.062,0.567,0.590,-8.728,51.575,-3.174
1.020,0.576,0.552,-8.057,54.382,-5.127
0.963,0.581,0.506,-9.277,57.434,-5.859
0.898,0.576,0.449,-13.855,59.998,-5.981
0.853,0.531,0.417,-17.395,62.500,-5.920
0.788,0.510,0.382,-21.362,63.354,-4.272
0.766,0.517,0.357,-22.766,62.439,-4.700
0.743,0.537,0.326,-23.376,60.669,-6.287
0.712,0.522,0.306,-25.085,59.509,-9.155
0.658,0.500,0.286,-28.687,59.387,-9.705
0.633,0.481,0.272,-31.006,59.692,-10.315
0.565,0.466,0.245,-31.677,59.998,-10.437
0.533,0.469,0.222,-31.372,58.533,-11.353
0.472,0.487,0.195,-30.151,55.237,-12.207
0.445,0.493,0.187,-29.419,50.598,-13.733
0.406,0.467,0.190,-29.907,46.082,-14.343
0.395,0.472,0.183,-32.288,41.626,-13.428
0.366,0.443,0.186,-33.264,37.415,-14.282
0.328,0.397,0.204,-32.104,34.851,-14.771
0.314,0.405,0.214,-28.320,32.166,-15.930
0.309,0.440,0.208,-25.818,28.870,-16.296
0.317,0.453,0.195,-25.818,26.733,-16.785
0.313,0.447,0.185,-27.100,25.879,-16.785
0.314,0.447,0.168,-29.602,25.269,-14.954
0.327,0.448,0.148,-31.250,23.987,-13.367
0.330,0.445,0.119,-31.128,21.667,-13.611
0.345,0.467,0.086,-30.212,19.104,-15.076
0.360,0.487,0.045,-29.358,16.174,-17.883
0.372,0.484,-0.002,-29.968,13.428,-20.508
0.393,0.458,-0.034,-33.203,11.353,-21.057
0.403,0.413,-0.047,-35.828,8.240,-20.630
0.418,0.379,-0.046,-36.621,4.456,-20.813
0.434,0.356,-0.031,-35.339,-0.183,-21.484
0.455,0.340,-0.003,-34.058,-4.272,-21.790
0.486,0.340,0.021,-33.569,-7.568,-22.400
0.504,0.327,0.051,-33.081,-9.827,-23.437
0.538,0.314,0.075,-32.288,-9.583,-23.560
0.590,0.318,0.083,-32.776,-7.996,-22.156
0.617,0.278,0.108,-32.837,-6.531,-21.545
0.640,0.245,0.142,-29.907,-5.371,-21.729
0.648,0.246,0.134,-26.672,-5.432,-22.522
0.670,0.217,0.110,-25.330,-6.836,-24.292
0.671,0.158,0.095,-26.733,-7.690,-24.048
0.696,0.151,0.052,-31.799,-9.094,-19.958
0.730,0.193,0.017,-35.767,-12.817,-19.531
0.727,0.151,0.024,-37.415,-16.968,-23.315
0.756,0.125,0.029,-36.743,-18.616,-25.085
0.768,0.164,-0.020,-33.691,-20.874,-27.649
0.804,0.177,-0.075,-31.494,-23.437,-31.250
0.827,0.151,-0.092,-31.433,-25.391,-33.264
0.853,0.138,-0.098,-31.616,-28.748,-34.668
0.849,0.120,-0.074,-30.579,-33.936,-37.170
0.841,0.091,-0.022,-28.931,-39.795,-39.612
0.893,0.058,0.036,-27.588,-45.105,-40.588
0.935,0.011,0.081,-26.123,-48.523,-41.382
0.971,-0.032,0.115,-25.391,-49.927,-40.955
1.004,-0.073,0.148,-24.780,-50.110,-38.879
1.039,-0.090,0.190,-23.743,-49.316,-36.072
1.070,-0.078,0.226,-23.010,-48.157,-33.691
1.081,-0.059,0.248,-24.658,-47.546,-32.227
1.067,-0.072,0.268,-28.076,-46.814,-30.579
1.109,-0.099,0.300,-28.381,-45.288,-29.846
1.126,-0.131,0.312,-25.818,-45.593,-29.663
1.161,-0.152,0.329,-23.621,-45.288,-28.809
1.177,-0.178,0.357,-19.958,-44.434,-28.381
1.206,-0.165,0.380,-15.869,-42.847,-27.222
1.199,-0.128,0.391,-12.573,-40.344,-26.611
1.193,-0.103,0.397,-12.268,-36.804,-25.635
1.196,-0.113,0.411,-14.587,-31.982,-22.644
1.203,-0.129,0.416,-16.235,-26.245,-18.616
1.203,-0.127,0.395,-15.381,-22.217,-15.503
1.185,-0.118,0.368,-13.489,-19.714,-13.977
1.173,-0.098,0.353,-11.597,-18.433,-13.977
1.152,-0.087,0.339,-10.254,-18.066,-14.587
1.128,-0.069,0.337,-9.521,-18.066,-14.099
1.128,-0.047,0.348,-8.301,-18.433,-13.123
1.130,-0.036,0.357,-6.836,-18.555,-13.062
1.132,-0.043,0.359,-6.042,-17.090,-13.428
1.109,-0.047,0.348,-5.981,-14.771,-12.268
1.132,-0.036,0.351,-5.371,-12.695,-11.230
1.034,-0.030,0.319,-8.606,-15.747,-9.399
1.047,-0.032,0.337,-8.789,-15.686,-9.888
1.042,-0.045,0.356,-1.831,-12.939,-12.085
1.024,0.009,0.326,-0.244,-13.062,-12.207
1.017,0.014,0.320,0.793,-11.963,-12.085
1.011,0.003,0.326,0.305,-11.719,-11.658
1.020,-0.019,0.353,-1.404,-10.803,-10.193
1.017,-0.026,0.367,0.000,-8.606,-9.033
1.008,-0.008,0.357,1.709,-6.836,-8.667
0.987,0.010,0.334,2.441,-5.798,-9.338
0.977,0.011,0.327,2.197,-5.798,-9.644
0.977,0.005,0.327,2.014,-6.287,-9.094
0.976,0.003,0.327,2.808,-7.202,-9.338
0.976,-0.000,0.336,3.845,-7.568,-9.033
0.979,-0.004,0.352,2.563,-7.141,-7.263
0.977,-0.003,0.365,1.404,-5.432,-4.944
0.977,0.006,0.366,1.282,-3.540,-3.540
0.972,0.022,0.359,1.770,-1.709,-3.052

1.429,0.764,0.625,39.246,-23.682,63.354
1.488,0.815,0.652,40.466,-21.423,59.387
1.527,0.861,0.677,40.405,-17.700,55.603
1.557,0.895,0.701,36.499,-12.695,52.551
1.555,0.907,0.723,31.250,-6.470,48.767
1.551,0.918,0.737,26.794,-0.122,45.227
1.522,0.959,0.729,23.437,4.822,41.382
1.519,0.990,0.727,19.775,9.216,37.292
1.519,0.975,0.741,14.526,13.794,33.142
1.515,0.942,0.750,9.277,19.470,28.625
1.483,0.920,0.731,6.042,25.208,22.644
1.432,0.904,0.697,3.418,29.846,15.747
1.376,0.863,0.682,0.061,34.119,9.277
1.334,0.807,0.674,-2.441,39.124,4.333
1.278,0.776,0.652,-4.089,43.884,0.549
1.229,0.744,0.627,-5.920,47.791,-2.991
1.174,0.713,0.592,-8.118,51.514,-7.141
1.085,0.655,0.547,-10.925,54.504,-12.207
1.040,0.602,0.513,-15.015,57.739,-14.221
0.998,0.569,0.492,-19.531,60.486,-14.404
0.927,0.532,0.468,-21.240,63.354,-14.343
0.896,0.539,0.427,-21.545,65.186,-14.771
0.857,0.545,0.394,-20.813,64.941,-18.188
0.818,0.538,0.361,-22.400,65.002,-20.264
0.781,0.502,0.330,-24.719,64.636,-22.827
0.742,0.437,0.307,-26.550,65.857,-24.109
0.684,0.403,0.271,-29.480,67.322,-22.705
0.629,0.390,0.235,-30.701,68.604,-20.386
0.547,0.432,0.176,-32.349,68.359,-16.968
0.522,0.454,0.145,-33.447,64.758,-16.968
0.490,0.452,0.134,-35.522,59.448,-17.883
0.480,0.444,0.132,-36.499,55.115,-19.348
0.452,0.440,0.116,-36.255,51.453,-20.752
0.393,0.441,0.078,-37.415,46.692,-22.034
0.368,0.446,0.060,-37.598,42.175,-23.437
0.328,0.443,0.067,-36.438,37.537,-24.353
0.300,0.429,0.081,-36.804,32.104,-24.231
0.274,0.372,0.108,-35.706,26.794,-24.780
0.252,0.346,0.117,-33.142,21.729,-25.085
0.242,0.344,0.114,-29.602,17.456,-25.269
0.242,0.331,0.111,-27.527,14.221,-24.292
0.250,0.342,0.118,-27.466,11.902,-20.691
0.289,0.386,0.108,-28.442,9.949,-17.151
0.322,0.398,0.093,-29.175,9.338,-15.381
0.335,0.418,0.046,-31.677,9.155,-14.099
0.343,0.416,0.001,-33.020,8.667,-13.733
0.338,0.405,-0.036,-34.485,6.470,-14.038
0.332,0.368,-0.048,-34.973,2.502,-14.709
0.342,0.326,-0.037,-33.752,-1.953,-15.381
0.377,0.322,-0.023,-30.945,-6.775,-16.235
0.423,0.343,-0.010,-28.198,-10.864,-16.968
0.461,0.348,-0.001,-28.442,-13.550,-17.151
0.483,0.338,0.004,-30.945,-13.916,-15.930
0.494,0.360,-0.008,-34.180,-12.695,-13.123
0.494,0.379,-0.031,-37.476,-10.925,-11.230
0.512,0.353,-0.045,-39.246,-10.681,-10.986
0.553,0.324,-0.046,-39.795,-11.292,-10.742
0.581,0.302,-0.048,-40.710,-13.367,-9.277
0.619,0.268,-0.029,-42.725,-16.785,-6.836
0.643,0.241,0.002,-45.288,-20.630,-3.174
0.678,0.306,0.021,-48.401,-24.414,-0.488
0.732,0.344,0.054,-50.415,-29.297,-4.272
0.785,0.310,0.076,-49.316,-32.715,-14.038
0.809,0.254,0.054,-45.105,-35.156,-23.437
0.853,0.213,0.033,-41.321,-36.987,-28.931
0.889,0.168,0.024,-39.429,-38.452,-31.250
0.894,0.110,0.059,-39.429,-40.222,-30.701
0.900,0.077,0.091,-38.391,-43.213,-31.067
0.925,0.052,0.154,-33.875,-45.105,-31.189
0.945,0.075,0.194,-31.311,-48.462,-30.884
0.995,0.068,0.230,-30.884,-51.208,-31.738
1.051,0.000,0.275,-29.785,-51.514,-33.508
1.091,-0.053,0.314,-27.100,-50.537,-33.752
1.096,-0.060,0.334,-22.888,-49.377,-33.813
1.097,-0.057,0.356,-18.127,-48.523,-34.058
1.112,-0.045,0.387,-16.174,-47.363,-32.715
1.125,-0.015,0.388,-17.029,-45.471,-30.396
1.152,-0.021,0.400,-18.860,-42.603,-27.710
1.201,-0.041,0.398,-19.043,-39.001,-25.818
1.194,-0.081,0.401,-16.968,-35.828,-25.757
1.187,-0.115,0.406,-12.512,-33.142,-27.283
1.162,-0.113,0.383,-10.620,-31.738,-27.283
1.156,-0.102,0.358,-11.230,-30.457,-26.489
1.148,-0.125,0.347,-11.536,-29.663,-26.001
1.193,-0.136,0.354,-9.766,-29.053,-25.024
1.205,-0.098,0.349,-5.798,-28.931,-24.292
1.221,-0.078,0.353,-2.014,-27.344,-24.475
1.207,-0.077,0.355,-1.648,-25.818,-24.902
1.191,-0.106,0.379,-2.441,-24.353,-24.536
1.179,-0.126,0.394,-1.465,-22.156,-24.231
1.171,-0.138,0.396,0.183,-19.653,-23.560
1.177,-0.126,0.387,2.075,-16.418,-22.766
1.164,-0.140,0.365,3.235,-13.672,-21.912
1.180,-0.212,0.406,1.282,-12.268,-17.883
1.070,-0.107,0.297,-5.676,-16.724,-13.977
1.089,-0.134,0.329,-1.099,-13.977,-12.939
1.057,-0.088,0.307,0.427,-14.587,-10.986
1.062,-0.064,0.314,-0.793,-15.259,-8.301
1.078,-0.042,0.331,1.404,-14.404,-6.653
1.096,-0.001,0.320,3.235,-13.062,-6.287
1.097,0.013,0.316,5.188,-11.108,-6.897
1.085,0.031,0.310,7.324,-8.423,-8.545
1.049,0.034,0.299,7.812,-6.409,-10.254
1.022,0.024,0.298,7.141,-3.662,-9.338
1.007,0.022,0.302,6.409,-1.465,-7.812
0.996,0.030,0.298,5.127,0.061,-5.920
0.980,0.033,0.289,3.174,0.305,-4.456
0.980,0.036,0.279,2.258,-0.244,-4.639
0.972,0.038,0.268,2.747,-1.831,-6.165
0.968,0.034,0.271,3.357,-3.540,-7.812
0.966,0.029,0.286,3.296,-3.845,-7.935
0.967,0.033,0.302,3.357,-3.662,-7.812
0.958,0.025,0.312,3.235,-2.563,-7.019
0.948,0.014,0.316,3.418,-0.854,-6.226
0.948,0.001,0.316,4.028,0.244,-5.554
0.954,-0.000,0.311,5.188,1.221,-4.089
0.951,0.002,0.304,5.432,2.625,-2.502
0.946,0.026,0.294,4.761,3.235,-0.977
0.941,0.053,0.280,3.540,2.380,-0.366

1.357,0.866,0.564,66.467,-42.969,66.162
1.333,0.882,0.526,57.495,-34.912,63.110
1.367,0.788,0.570,52.673,-27.283,57.922
1.296,0.799,0.528,48.035,-24.475,54.688
1.333,0.793,0.555,50.049,-17.883,52.979
1.344,0.822,0.572,52.185,-15.686,51.086
1.355,0.893,0.569,51.453,-16.968,47.913
1.375,0.910,0.599,53.833,-15.747,42.175
1.407,0.931,0.635,54.993,-13.672,36.438
1.419,0.965,0.656,51.392,-11.230,33.264
1.398,0.978,0.665,45.410,-7.812,30.029
1.378,0.960,0.681,38.818,-3.052,26.550
1.359,0.927,0.703,31.921,1.953,23.987
1.350,0.902,0.724,26.428,7.812,22.583
1.338,0.898,0.727,21.545,13.489,20.996
1.319,0.914,0.717,16.968,18.738,18.127
1.316,0.906,0.719,12.451,22.827,14.404
1.266,0.894,0.684,8.179,24.963,8.972
1.258,0.855,0.684,6.531,28.931,4.272
1.209,0.825,0.671,5.310,31.677,-0.610
1.178,0.802,0.659,3.967,35.950,-4.456
1.127,0.772,0.636,1.465,41.931,-7.202
1.087,0.736,0.611,-2.563,47.363,-10.193
1.044,0.706,0.573,-5.981,52.002,-11.902
1.004,0.689,0.515,-9.949,56.213,-12.817
0.955,0.666,0.464,-14.832,59.814,-11.963
0.908,0.674,0.416,-19.287,61.646,-11.414
0.877,0.672,0.387,-21.790,60.120,-13.306
0.856,0.672,0.371,-23.071,57.617,-17.639
0.835,0.671,0.343,-26.123,56.580,-20.935
0.824,0.642,0.319,-29.846,56.519,-22.644
0.781,0.605,0.301,-32.532,57.007,-23.987
0.738,0.565,0.293,-33.386,56.641,-26.184
0.710,0.543,0.296,-29.053,56.335,-30.334
0.656,0.525,0.268,-24.292,55.908,-34.668
0.627,0.499,0.251,-22.644,55.481,-37.415
0.581,0.489,0.224,-24.170,54.626,-36.987
0.592,0.481,0.214,-27.771,53.955,-35.889
0.573,0.461,0.198,-31.616,54.138,-34.241
0.551,0.452,0.163,-36.438,54.626,-32.227
0.498,0.423,0.128,-38.574,53.528,-31.982
0.472,0.405,0.106,-38.818,49.561,-32.349
0.393,0.386,0.078,-38.391,43.274,-31.799
0.363,0.375,0.083,-35.645,34.912,-33.875
0.352,0.362,0.112,-30.701,26.184,-36.011
0.353,0.353,0.129,-28.809,19.226,-36.560
0.353,0.317,0.158,-28.015,15.198,-36.011
0.343,0.301,0.174,-29.053,14.404,-32.227
0.354,0.325,0.163,-30.396,13.916,-27.954
0.343,0.340,0.144,-29.114,12.817,-26.489
0.345,0.351,0.121,-28.381,10.925,-26.123
0.358,0.354,0.090,-29.968,9.094,-25.452
0.366,0.331,0.052,-32.593,7.996,-24.719
0.362,0.306,0.018,-34.973,6.042,-23.865
0.373,0.271,-0.000,-35.339,3.296,-23.804
0.364,0.226,-0.008,-33.813,-0.305,-24.292
0.357,0.229,-0.012,-31.982,-4.761,-23.682
0.360,0.252,-0.006,-31.189,-9.888,-22.278
0.396,0.246,0.011,-31.799,-14.832,-20.630
0.464,0.245,0.019,-33.020,-18.188,-18.433
0.503,0.260,0.004,-32.288,-20.874,-18.188
0.522,0.258,-0.005,-32.104,-23.254,-18.799
0.509,0.252,-0.009,-35.767,-25.146,-17.578
0.477,0.256,0.002,-41.565,-28.015,-14.771
0.467,0.277,0.027,-46.753,-32.166,-12.268
0.483,0.274,0.042,-50.537,-37.415,-11.963
0.556,0.219,0.044,-52.856,-42.542,-13.672
0.651,0.125,0.068,-52.246,-45.532,-14.404
0.713,0.102,0.082,-47.913,-45.410,-13.184
0.746,0.154,0.088,-41.443,-45.105,-13.245
0.745,0.231,0.091,-36.560,-46.082,-14.282
0.763,0.289,0.123,-35.339,-47.913,-16.724
0.841,0.326,0.149,-35.950,-49.683,-20.203
0.934,0.294,0.207,-37.048,-49.927,-23.987
0.966,0.216,0.266,-38.757,-49.133,-26.550
1.017,0.144,0.318,-38.574,-45.776,-27.527
1.034,0.100,0.353,-33.447,-42.114,-29.602
1.042,0.097,0.365,-26.672,-39.001,-32.410
1.029,0.130,0.358,-21.179,-37.598,-34.302
1.050,0.145,0.347,-19.470,-37.903,-35.339
1.097,0.119,0.364,-20.447,-37.537,-34.912
1.140,0.080,0.387,-21.729,-36.865,-34.973
1.181,0.026,0.415,-20.813,-35.034,-35.706
1.181,-0.014,0.425,-18.188,-31.860,-35.645
1.158,-0.048,0.403,-16.418,-29.297,-35.034
1.154,-0.090,0.393,-14.282,-26.733,-34.119
1.136,-0.129,0.382,-11.353,-25.085,-32.593
1.142,-0.153,0.370,-7.080,-23.621,-30.457
1.134,-0.156,0.366,-2.747,-21.484,-28.076
1.152,-0.111,0.339,-2.625,-19.836,-25.452
1.154,-0.113,0.337,-4.211,-18.494,-24.048
1.159,-0.114,0.341,-5.554,-16.235,-22.461
1.156,-0.107,0.338,-6.287,-15.015,-20.386
1.153,-0.096,0.336,-4.272,-14.099,-19.287
1.149,-0.091,0.338,-1.465,-14.221,-20.264
1.159,-0.081,0.340,1.038,-13.794,-20.630
1.153,-0.087,0.339,2.869,-13.672,-20.874
1.143,-0.116,0.354,4.089,-12.390,-20.569
1.132,-0.118,0.351,5.188,-10.925,-19.104
1.109,-0.107,0.339,6.592,-9.766,-17.151
