aX,aY,aZ,gX,gY,gZ
0.846,-0.467,-0.160,0.793,-1.465,-0.793
0.850,-0.475,-0.158,1.221,-2.808,-1.709

1.837,0.310,0.575,-0.061,-35.278,-35.217
1.876,0.352,0.588,5.798,-30.823,-43.579
1.914,0.402,0.594,6.653,-22.156,-49.805
1.928,0.422,0.595,3.723,-11.597,-56.580
1.924,0.415,0.598,-2.014,-0.488,-62.500
1.905,0.400,0.601,-8.240,11.169,-67.017
1.874,0.394,0.574,-12.634,21.423,-71.960
1.843,0.366,0.546,-14.221,28.748,-77.942
1.764,0.356,0.518,-14.832,32.471,-85.327
1.731,0.336,0.490,-15.137,35.767,-91.980
1.668,0.324,0.471,-16.357,40.222,-94.849
1.619,0.305,0.450,-21.240,42.664,-97.107
1.577,0.294,0.459,-26.733,47.424,-97.351
1.539,0.280,0.492,-32.227,53.101,-96.863
1.521,0.254,0.539,-36.865,59.814,-97.900
1.485,0.229,0.550,-39.551,67.139,-99.976
1.450,0.193,0.533,-41.260,75.500,-101.257
1.402,0.160,0.513,-43.152,84.595,-101.074
1.342,0.135,0.476,-45.898,93.323,-100.891
1.271,0.108,0.431,-47.913,100.525,-100.647
1.210,0.096,0.375,-50.842,106.201,-99.670
1.139,0.081,0.313,-55.969,109.314,-99.487
1.062,0.037,0.298,-61.951,111.267,-99.976
1.006,-0.029,0.326,-66.406,113.953,-99.792
0.965,-0.085,0.353,-66.772,115.906,-99.304
0.944,-0.117,0.357,-62.012,116.821,-99.609
0.884,-0.135,0.333,-57.190,117.004,-100.830
0.802,-0.157,0.285,-54.443,117.432,-101.929
0.714,-0.190,0.214,-54.504,117.249,-102.783
0.635,-0.226,0.143,-56.763,115.173,-102.295
0.597,-0.260,0.099,-59.814,111.572,-99.915
0.559,-0.298,0.086,-62.622,106.079,-97.656
0.506,-0.330,0.094,-63.660,99.243,-95.276
0.480,-0.359,0.133,-60.730,92.468,-93.201
0.451,-0.378,0.172,-54.688,85.999,-92.651
0.434,-0.418,0.178,-49.316,83.008,-91.614
0.413,-0.453,0.166,-48.828,87.708,-84.412
0.396,-0.466,0.123,-52.856,94.788,-73.242
0.396,-0.481,0.074,-57.556,98.083,-63.660
0.406,-0.503,0.047,-59.631,93.933,-57.861
0.404,-0.502,0.029,-56.885,81.787,-56.396
0.382,-0.489,0.001,-49.622,63.538,-59.204
0.377,-0.489,-0.002,-39.795,44.373,-64.697
0.397,-0.505,0.040,-31.860,29.968,-68.420
0.416,-0.529,0.096,-28.503,23.193,-67.444
0.423,-0.551,0.122,-27.405,22.217,-62.744
0.420,-0.562,0.111,-25.879,24.414,-56.702
0.428,-0.581,0.097,-22.766,28.442,-49.866
0.431,-0.580,0.052,-20.386,30.518,-43.091
0.457,-0.561,-0.004,-20.752,30.396,-36.316
0.470,-0.547,-0.035,-22.278,28.137,-30.762
0.497,-0.550,-0.017,-24.414,23.682,-25.879
0.543,-0.544,0.013,-25.757,18.616,-22.339
0.573,-0.546,0.053,-24.170,15.381,-19.775
0.588,-0.557,0.074,-21.240,14.526,-17.822
0.591,-0.563,0.055,-18.005,14.160,-16.235
0.600,-0.572,0.030,-13.550,13.611,-14.771
0.615,-0.571,0.012,-9.155,13.367,-11.902
0.637,-0.562,-0.010,-6.897,13.489,-7.629
0.668,-0.539,-0.027,-6.165,14.343,-3.113
0.708,-0.510,-0.021,-5.798,14.343,0.854
0.755,-0.501,-0.012,-5.676,14.099,2.075
0.765,-0.507,0.000,-5.493,13.916,2.502
0.768,-0.513,-0.020,-4.456,13.367,1.892
0.766,-0.506,-0.055,-2.136,11.475,0.610
0.764,-0.505,-0.067,0.854,9.338,-0.610
0.770,-0.493,-0.078,2.747,7.080,-0.916
0.784,-0.486,-0.077,3.906,5.432,-0.977
0.803,-0.485,-0.081,5.493,4.089,-1.404
0.823,-0.479,-0.104,7.019,2.991,-1.892
0.834,-0.479,-0.126,7.629,2.014,-2.625
0.826,-0.478,-0.138,7.568,1.221,-2.747
0.832,-0.481,-0.135,6.531,0.854,-2.441
0.839,-0.478,-0.130,5.005,1.343,-1.099
0.838,-0.475,-0.122,3.845,3.174,1.038
0.834,-0.473,-0.117,1.709,4.517,2.869
0.844,-0.473,-0.105,0.916,4.333,3.662
0.854,-0.477,-0.094,2.380,3.174,3.113
0.863,-0.482,-0.104,3.479,2.380,2.319
0.856,-0.475,-0.125,4.333,2.625,2.197
0.841,-0.473,-0.142,4.944,2.747,2.319
0.825,-0.474,-0.153,5.249,2.014,1.648
0.825,-0.461,-0.162,5.310,0.854,1.099
0.847,-0.464,-0.153,6.042,-0.183,0.488
0.855,-0.468,-0.135,5.066,-0.122,1.221
0.849,-0.472,-0.141,3.479,0.610,2.869
0.846,-0.471,-0.149,3.540,0.793,3.662
0.853,-0.460,-0.153,5.249,0.122,3.601
0.864,-0.449,-0.152,5.981,-0.732,3.357
0.869,-0.450,-0.149,4.272,-0.793,2.686
0.863,-0.454,-0.150,2.747,-0.549,2.258
0.865,-0.454,-0.153,2.686,-0.916,1.465
0.860,-0.450,-0.152,3.113,-2.197,0.793
0.855,-0.453,-0.129,3.052,-3.052,0.061
0.863,-0.457,-0.108,2.930,-3.418,-0.610
0.871,-0.449,-0.097,3.296,-2.930,-0.366
0.888,-0.455,-0.090,2.258,-1.099,0.000
0.891,-0.470,-0.096,0.732,0.244,-0.183
0.875,-0.483,-0.099,0.183,0.977,-0.183
0.850,-0.491,-0.104,1.282,0.244,-0.366
0.848,-0.491,-0.104,2.625,-1.404,-0.488
0.851,-0.485,-0.093,3.174,-2.014,0.000
0.858,-0.481,-0.085,3.113,-2.441,0.488
0.875,-0.482,-0.080,4.028,-2.563,0.122
0.873,-0.476,-0.080,4.517,-2.380,-0.244
0.871,-0.481,-0.092,4.639,-1.526,-1.099
0.869,-0.474,-0.119,4.517,-0.854,-1.343
0.862,-0.464,-0.133,4.272,-0.427,-0.793
0.863,-0.470,-0.134,3.601,-0.244,-0.732
0.857,-0.474,-0.134,2.136,-0.305,-0.488
0.848,-0.478,-0.133,2.014,-0.793,-0.244
0.848,-0.483,-0.135,3.113,-1.343,-0.671
0.844,-0.484,-0.132,3.418,-1.526,-0.183
0.847,-0.486,-0.122,2.380,-1.160,1.343
0.867,-0.478,-0.121,2.075,-0.671,2.991
0.882,-0.458,-0.112,2.563,-0.183,3.601
0.893,-0.462,-0.104,2.319,0.732,3.357
0.893,-0.453,-0.119,1.160,1.587,3.113
0.884,-0.446,-0.139,1.282,1.465,2.258

2.001,0.297,0.487,-4.333,-51.086,-27.039
1.922,0.332,0.616,-8.301,-51.331,-35.461
2.080,0.292,0.683,0.549,-53.467,-54.016
2.025,0.304,0.646,12.146,-37.598,-61.707
2.047,0.278,0.573,6.531,-23.987,-68.237
1.988,0.277,0.539,-0.916,-5.249,-69.214
1.979,0.295,0.541,-8.301,16.663,-66.284
1.960,0.325,0.512,-19.165,38.269,-63.354
1.960,0.341,0.524,-30.151,55.298,-61.768
1.924,0.367,0.518,-37.659,64.209,-64.453
1.897,0.369,0.499,-40.649,67.383,-72.021
1.843,0.347,0.492,-41.321,67.261,-81.909
1.759,0.319,0.483,-40.527,62.866,-93.689
1.648,0.282,0.503,-37.842,58.350,-105.652
1.560,0.219,0.534,-34.607,57.190,-116.211
1.455,0.187,0.539,-31.860,61.707,-121.338
1.351,0.162,0.517,-32.959,70.984,-121.094
1.275,0.126,0.507,-39.368,83.496,-117.981
1.174,0.064,0.509,-47.180,95.764,-113.586
1.088,0.003,0.506,-54.138,105.469,-109.924
1.012,-0.045,0.481,-55.908,110.474,-107.971
0.941,-0.073,0.432,-53.162,111.877,-107.971
0.863,-0.097,0.406,-50.293,109.924,-108.643
0.826,-0.115,0.404,-45.105,108.398,-109.253
0.773,-0.130,0.377,-39.307,105.713,-111.816
0.721,-0.146,0.325,-35.400,101.929,-114.075
0.677,-0.182,0.280,-34.546,100.220,-113.647
0.609,-0.222,0.233,-38.269,102.173,-109.192
0.533,-0.256,0.167,-46.753,104.553,-101.868
0.489,-0.312,0.137,-53.772,102.966,-95.215
0.462,-0.354,0.139,-56.458,97.412,-89.111
0.448,-0.368,0.151,-54.199,89.355,-84.656
0.436,-0.388,0.153,-49.133,81.665,-82.581
0.428,-0.411,0.142,-43.884,75.989,-80.322
0.412,-0.410,0.114,-41.138,72.449,-75.623
0.400,-0.434,0.109,-41.382,72.144,-69.580
0.411,-0.472,0.135,-45.410,76.660,-60.669
0.415,-0.468,0.120,-50.049,79.834,-52.185
0.409,-0.470,0.075,-50.659,78.308,-48.523
0.401,-0.483,0.022,-48.645,71.228,-48.767
0.417,-0.478,-0.017,-45.349,58.960,-49.805
0.433,-0.484,-0.012,-40.771,43.823,-51.514
0.448,-0.500,0.026,-36.438,29.724,-53.345
0.440,-0.527,0.083,-33.081,20.447,-53.101
0.430,-0.554,0.136,-29.480,15.747,-50.659
0.440,-0.558,0.132,-24.719,14.526,-46.631
0.453,-0.560,0.114,-19.897,14.709,-42.297
0.450,-0.579,0.103,-17.639,15.808,-36.865
0.472,-0.588,0.098,-18.250,16.785,-29.907
0.512,-0.591,0.095,-19.287,17.517,-22.339
0.550,-0.574,0.083,-19.653,17.456,-15.381
0.561,-0.554,0.072,-20.203,16.846,-10.315
0.582,-0.546,0.065,-20.874,14.709,-7.935
0.594,-0.553,0.069,-19.653,12.207,-6.531
0.616,-0.548,0.069,-17.639,11.169,-4.211
0.648,-0.534,0.065,-15.686,10.986,-2.014
0.687,-0.517,0.054,-12.695,11.230,-0.488
0.715,-0.495,0.044,-10.193,11.536,0.793
0.738,-0.481,0.047,-9.155,11.597,0.916
0.752,-0.483,0.047,-8.179,10.742,-0.244
0.755,-0.483,0.038,-6.531,9.888,-0.732
0.772,-0.477,0.020,-4.822,9.338,-0.732
0.776,-0.482,0.016,-4.089,9.277,-0.488
0.792,-0.488,0.014,-3.723,9.827,0.610
0.813,-0.478,0.014,-3.174,10.986,2.380
0.822,-0.471,0.025,-2.625,11.963,3.296
0.823,-0.466,0.030,-2.258,11.719,2.869
0.819,-0.468,0.027,-0.305,10.132,1.038
0.824,-0.475,0.011,3.296,7.202,-1.587
0.825,-0.480,-0.008,5.981,4.700,-3.113
0.822,-0.485,-0.030,7.568,3.418,-3.540
0.817,-0.491,-0.046,7.996,2.869,-3.418
0.819,-0.481,-0.060,7.935,2.502,-2.625
0.848,-0.464,-0.057,7.874,2.380,-1.526
0.868,-0.452,-0.044,7.019,3.784,-0.244
0.877,-0.449,-0.047,4.517,5.310,0.977
0.882,-0.459,-0.053,3.052,6.165,0.793
0.869,-0.465,-0.062,3.479,5.432,0.183
0.860,-0.468,-0.073,4.883,3.845,-0.671
0.859,-0.465,-0.079,5.798,2.930,-0.916
0.860,-0.458,-0.078,4.578,3.357,0.366
0.859,-0.454,-0.065,2.136,4.028,1.892
0.864,-0.453,-0.054,1.282,4.333,2.380
0.861,-0.457,-0.056,1.953,3.723,1.343
0.863,-0.462,-0.065,2.991,1.770,0.183
0.857,-0.463,-0.057,3.357,0.427,-0.183
0.844,-0.464,-0.058,3.296,0.000,0.427
0.848,-0.462,-0.068,2.563,0.000,1.099
0.856,-0.459,-0.065,2.319,0.061,2.197
0.863,-0.455,-0.052,1.160,0.610,3.906
0.863,-0.458,-0.042,-0.061,1.343,5.249
0.867,-0.455,-0.032,0.244,1.770,5.676
0.874,-0.450,-0.028,1.648,1.343,5.371
0.881,-0.450,-0.025,2.380,0.916,4.272
0.873,-0.456,-0.029,1.953,1.099,3.601
0.861,-0.458,-0.042,2.075,0.732,3.418
0.860,-0.454,-0.046,3.418,-0.488,2.747
0.879,-0.454,-0.033,5.127,-2.441,1.099
0.882,-0.453,-0.030,6.409,-2.808,-0.061
0.879,-0.449,-0.040,6.104,-1.709,0.610
0.881,-0.451,-0.055,5.432,-1.038,0.793
0.881,-0.446,-0.072,5.859,-1.648,0.610
0.893,-0.436,-0.083,5.798,-2.319,0.671
0.905,-0.437,-0.064,3.479,-0.916,2.075
0.890,-0.440,-0.049,-0.488,1.526,4.333
0.875,-0.443,-0.049,-2.563,2.930,5.127
0.863,-0.446,-0.059,-1.648,2.319,4.333
0.867,-0.441,-0.075,0.122,0.427,3.357
