aX,aY,aZ,gX,gY,gZ
0.447,-0.522,0.187,-17.212,82.397,-65.613
0.420,-0.526,0.132,-15.564,80.627,-62.439
0.401,-0.540,0.071,-18.799,78.003,-57.556
0.396,-0.566,0.034,-22.888,73.181,-52.246
0.393,-0.593,0.026,-25.391,65.186,-48.035
0.409,-0.613,0.031,-25.208,54.932,-44.556
0.454,-0.611,0.041,-21.484,44.922,-41.809
0.502,-0.599,0.059,-16.174,36.926,-39.429
0.534,-0.578,0.073,-12.817,32.227,-36.377
0.547,-0.555,0.066,-11.169,30.884,-33.142
0.549,-0.538,0.054,-10.437,31.372,-29.358
0.571,-0.538,0.051,-10.681,32.715,-25.330
0.568,-0.541,0.032,-11.963,34.485,-21.790
0.561,-0.550,0.008,-12.695,36.255,-18.799
0.569,-0.556,-0.006,-11.597,35.828,-16.357
0.565,-0.552,-0.014,-10.254,31.616,-14.526
0.570,-0.552,-0.011,-10.071,27.344,-12.878
0.578,-0.558,-0.010,-10.803,22.949,-11.475
0.594,-0.555,-0.002,-11.475,19.958,-9.644
0.597,-0.555,0.009,-11.414,17.578,-7.385
0.606,-0.545,0.002,-10.620,15.564,-5.859
0.647,-0.537,0.009,-9.033,15.381,-3.906
0.690,-0.535,0.018,-7.996,17.151,-2.197
0.714,-0.537,0.004,-8.118,19.775,0.061
0.727,-0.538,-0.013,-7.446,21.301,1.648
0.733,-0.519,-0.027,-4.944,20.325,2.258
0.741,-0.493,-0.046,-2.625,17.090,1.221
0.759,-0.490,-0.046,-2.563,13.550,-0.977
0.757,-0.496,-0.034,-4.761,11.292,-2.136
0.747,-0.512,-0.016,-6.836,10.071,-2.502
0.758,-0.529,0.008,-6.226,10.132,-2.319
0.782,-0.534,0.020,-3.601,10.132,-2.380
0.780,-0.534,0.009,-0.305,10.864,-2.441
0.762,-0.534,-0.018,1.526,11.719,-2.563
0.753,-0.535,-0.050,3.235,10.132,-2.991
0.753,-0.535,-0.072,5.493,7.141,-3.723
0.748,-0.532,-0.097,7.446,4.517,-4.089
0.744,-0.524,-0.118,6.714,2.808,-3.479
0.760,-0.511,-0.123,4.578,1.465,-2.319
0.771,-0.514,-0.103,2.014,1.343,-0.977
0.781,-0.526,-0.087,-0.488,1.831,0.244
0.800,-0.527,-0.079,-0.977,2.380,1.587
0.828,-0.532,-0.074,1.160,2.747,2.075
0.828,-0.534,-0.073,2.075,3.540,2.136
0.814,-0.532,-0.088,1.831,4.333,2.686
0.803,-0.521,-0.104,2.441,4.333,3.113
0.805,-0.505,-0.118,3.540,3.235,2.625
0.813,-0.504,-0.116,2.319,2.502,2.625
0.828,-0.511,-0.107,-1.221,1.709,2.502
0.831,-0.524,-0.080,-2.625,0.610,2.075
0.833,-0.532,-0.065,-1.709,-0.061,1.587
0.840,-0.531,-0.061,0.305,-1.465,0.610
0.856,-0.524,-0.051,2.441,-2.319,-0.122
0.851,-0.525,-0.039,2.563,-1.831,-0.244
0.828,-0.528,-0.043,1.343,-0.610,0.061
0.814,-0.521,-0.054,1.404,-0.061,0.671
0.822,-0.515,-0.053,2.686,-0.793,0.183
0.844,-0.520,-0.049,3.601,-0.671,-0.305
0.850,-0.520,-0.051,1.770,0.610,1.038
0.849,-0.514,-0.059,-0.061,1.831,2.563
0.846,-0.510,-0.062,-0.183,2.319,2.808
0.841,-0.512,-0.063,0.488,2.075,2.319
0.840,-0.509,-0.066,0.671,1.892,2.258
0.845,-0.510,-0.061,0.488,1.160,2.075
0.857,-0.520,-0.047,1.343,0.488,1.282
0.849,-0.527,-0.039,2.808,0.000,0.488
0.843,-0.527,-0.049,4.395,-0.427,-0.244
0.834,-0.515,-0.068,5.737,-1.343,-1.282
0.837,-0.510,-0.070,5.920,-1.587,-2.197
0.836,-0.511,-0.072,3.723,-0.427,-1.587
0.838,-0.501,-0.071,0.854,0.854,0.610
0.852,-0.502,-0.063,-0.183,1.221,1.404
0.870,-0.510,-0.060,0.244,0.488,0.305
0.866,-0.506,-0.069,1.831,-0.122,-0.732
0.849,-0.504,-0.084,3.418,-0.854,-1.587
0.842,-0.509,-0.087,3.418,-1.099,-1.770
0.842,-0.511,-0.082,1.953,-0.183,-0.793
0.845,-0.513,-0.077,-0.061,1.099,0.732

1.889,0.200,0.681,4.028,-94.543,-22.705
2.147,0.175,0.749,24.780,-107.422,-44.739
2.159,0.278,0.733,50.232,-93.079,-51.636
2.208,0.336,0.700,47.485,-79.468,-60.242
2.278,0.348,0.736,30.823,-49.377,-63.354
2.183,0.345,0.757,8.606,-19.043,-62.927
2.129,0.257,0.800,-8.850,13.733,-64.087
2.023,0.216,0.796,-19.287,38.696,-65.796
1.916,0.210,0.734,-17.456,54.260,-72.144
1.786,0.194,0.657,-10.559,63.293,-82.764
1.647,0.183,0.564,-9.827,68.237,-90.698
1.565,0.166,0.505,-16.174,72.449,-92.712
1.450,0.152,0.493,-25.330,71.777,-93.567
1.401,0.115,0.492,-29.602,69.885,-94.666
1.388,0.079,0.543,-31.982,74.280,-96.375
1.287,-0.012,0.590,-38.147,70.129,-100.708
1.233,-0.062,0.619,-41.260,71.899,-100.708
1.152,-0.091,0.618,-36.194,74.341,-101.013
1.104,-0.116,0.596,-27.893,77.148,-102.478
1.045,-0.104,0.549,-23.376,82.031,-101.074
1.006,-0.116,0.510,-24.109,87.097,-99.243
0.984,-0.155,0.488,-28.564,91.309,-98.450
0.947,-0.179,0.455,-32.288,95.581,-96.130
0.929,-0.186,0.433,-34.058,99.182,-92.834
0.933,-0.171,0.418,-37.170,102.905,-89.539
0.943,-0.180,0.438,-41.992,108.032,-86.792
0.900,-0.223,0.454,-45.715,113.220,-86.182
0.844,-0.275,0.459,-46.143,115.967,-85.571
0.801,-0.314,0.443,-42.908,115.295,-85.266
0.735,-0.333,0.400,-36.865,111.267,-86.304
0.689,-0.327,0.334,-32.227,106.506,-86.670
0.667,-0.328,0.278,-31.982,102.722,-85.449
0.662,-0.342,0.253,-36.743,101.990,-82.275
0.661,-0.380,0.241,-44.739,103.394,-76.233
0.642,-0.387,0.243,-51.941,105.225,-68.726
0.668,-0.406,0.283,-54.626,106.628,-62.500
0.669,-0.427,0.313,-53.650,105.957,-59.631
0.648,-0.451,0.310,-50.354,104.309,-59.021
0.641,-0.451,0.287,-44.922,103.088,-57.251
0.633,-0.444,0.250,-41.565,100.891,-55.603
0.628,-0.447,0.203,-40.100,98.389,-54.016
0.625,-0.451,0.152,-40.344,95.886,-53.162
0.590,-0.487,0.108,-41.748,90.271,-54.260
0.584,-0.506,0.098,-42.236,87.341,-51.880
0.563,-0.505,0.109,-42.725,84.167,-48.218
0.567,-0.520,0.133,-42.603,80.200,-47.058
0.571,-0.534,0.139,-39.917,77.332,-45.959
0.574,-0.565,0.134,-37.598,74.768,-44.250
0.545,-0.588,0.121,-36.072,71.289,-42.480
0.531,-0.595,0.081,-31.250,65.308,-42.236
0.512,-0.601,0.039,-24.902,57.312,-43.518
0.497,-0.598,-0.001,-20.813,49.255,-43.762
0.491,-0.589,-0.023,-19.409,43.335,-41.077
0.476,-0.603,-0.012,-20.630,39.429,-36.926
0.466,-0.630,-0.008,-24.292,37.170,-32.043
0.446,-0.656,-0.018,-25.391,36.072,-26.733
0.435,-0.674,-0.031,-24.048,35.583,-20.264
0.431,-0.680,-0.039,-22.461,34.973,-12.573
0.441,-0.671,-0.036,-21.484,33.325,-5.310
0.451,-0.652,-0.041,-19.043,30.884,-0.793
0.457,-0.635,-0.042,-16.235,28.748,2.136
0.480,-0.626,-0.056,-15.808,26.245,3.601
0.518,-0.614,-0.074,-16.052,24.109,5.249
0.560,-0.606,-0.077,-15.991,23.621,8.301
0.587,-0.602,-0.070,-16.968,24.109,11.841
0.616,-0.587,-0.068,-17.700,24.292,14.648
0.648,-0.571,-0.065,-15.747,22.644,15.747
0.671,-0.550,-0.062,-12.817,19.714,15.015
0.707,-0.519,-0.066,-10.010,17.029,13.367
0.734,-0.497,-0.071,-7.385,14.587,10.742
0.743,-0.501,-0.076,-6.592,12.390,7.446
0.728,-0.517,-0.096,-6.775,10.498,4.639
0.712,-0.528,-0.111,-5.554,9.338,3.967
0.720,-0.517,-0.124,-4.395,8.179,4.944
0.737,-0.513,-0.122,-4.517,7.080,5.737
0.752,-0.508,-0.093,-5.737,7.141,7.202
0.764,-0.508,-0.064,-6.165,6.958,7.935
0.785,-0.509,-0.062,-4.089,5.859,6.042
0.786,-0.526,-0.076,-0.305,4.272,3.052
0.766,-0.531,-0.110,1.953,2.563,1.404
0.755,-0.506,-0.158,3.601,1.099,0.977
0.771,-0.499,-0.174,4.883,0.061,0.549
0.799,-0.509,-0.151,2.014,1.648,2.380
0.781,-0.519,-0.136,-3.113,5.066,6.531
0.771,-0.530,-0.140,-5.066,6.226,8.301
0.771,-0.533,-0.148,-2.136,3.845,7.751
0.775,-0.519,-0.159,0.671,0.610,7.385
0.792,-0.506,-0.146,0.671,-1.221,8.118
0.816,-0.498,-0.127,-1.282,-1.526,8.911
0.841,-0.499,-0.104,-1.892,-0.977,9.338
0.844,-0.501,-0.088,-1.831,-0.122,9.094
0.842,-0.499,-0.083,-1.099,-0.305,7.874
0.832,-0.493,-0.090,0.977,-2.014,5.005
0.836,-0.506,-0.090,3.052,-2.869,2.319
0.839,-0.517,-0.107,3.357,-2.563,1.770
0.834,-0.513,-0.114,2.747,-1.831,3.662
0.838,-0.513,-0.109,2.380,-1.831,4.822
0.843,-0.505,-0.104,2.380,-2.869,5.493
0.851,-0.489,-0.105,3.235,-3.723,5.981
0.872,-0.469,-0.103,3.540,-3.845,5.615
0.884,-0.469,-0.093,2.686,-1.892,5.554
0.880,-0.485,-0.095,-0.366,0.732,6.226
0.874,-0.488,-0.106,-1.160,1.770,6.226
0.876,-0.479,-0.098,1.648,0.244,4.944
0.887,-0.484,-0.077,3.662,-1.770,2.319
0.870,-0.487,-0.081,3.906,-2.075,0.366
0.837,-0.495,-0.094,4.333,-2.136,-0.732
0.816,-0.507,-0.110,4.761,-3.418,-1.587
0.816,-0.508,-0.125,5.554,-5.798,-2.014
0.828,-0.490,-0.127,6.958,-8.118,-1.282
0.856,-0.489,-0.107,5.615,-7.507,0.427
0.869,-0.487,-0.087,1.099,-4.822,3.479
0.873,-0.483,-0.078,-1.587,-2.686,5.676
0.881,-0.478,-0.066,-0.305,-1.892,5.493
0.898,-0.485,-0.065,2.136,-1.526,3.601
0.891,-0.483,-0.084,2.869,-0.671,2.686
0.873,-0.484,-0.102,2.930,0.061,2.808
0.863,-0.481,-0.108,3.296,-0.183,2.869
0.868,-0.478,-0.094,3.418,-0.977,2.747

1.755,0.380,0.560,-4.211,-71.289,19.958
1.927,0.424,0.582,-3.662,-66.589,9.705
2.135,0.492,0.813,-3.845,-63.904,0.671
2.054,0.421,0.749,2.014,-86.609,-26.367
2.185,0.439,0.794,27.039,-86.548,-49.805
2.208,0.506,0.755,36.377,-72.693,-63.965
2.197,0.505,0.713,26.306,-53.345,-73.547
2.112,0.479,0.665,10.437,-25.024,-78.552
2.000,0.438,0.626,-6.226,7.202,-78.247
1.884,0.374,0.589,-20.935,34.790,-77.698
1.774,0.332,0.573,-28.992,55.481,-77.026
1.702,0.326,0.530,-34.180,68.054,-77.271
1.636,0.326,0.516,-36.926,68.604,-83.801
1.534,0.298,0.488,-33.264,59.509,-97.473
1.505,0.267,0.487,-26.123,52.917,-112.000
1.428,0.205,0.480,-21.545,45.227,-124.817
1.370,0.165,0.468,-18.616,41.626,-130.554
1.316,0.134,0.451,-19.226,41.992,-132.324
1.299,0.091,0.471,-22.095,44.800,-131.714
1.294,0.078,0.486,-26.672,51.331,-127.319
1.304,0.045,0.525,-33.142,61.768,-121.948
1.297,0.003,0.572,-39.856,73.486,-117.432
1.250,-0.040,0.596,-42.480,85.022,-113.770
1.191,-0.101,0.588,-39.307,93.933,-113.464
1.117,-0.139,0.538,-32.104,99.976,-114.868
1.048,-0.146,0.464,-24.170,103.394,-116.577
1.011,-0.149,0.399,-19.470,104.004,-117.737
0.977,-0.149,0.354,-19.958,101.990,-117.737
0.940,-0.175,0.344,-23.926,100.098,-117.065
0.908,-0.210,0.346,-29.297,100.586,-114.563
0.866,-0.247,0.337,-35.950,102.661,-110.779
0.822,-0.296,0.343,-41.260,106.079,-106.140
0.763,-0.347,0.356,-44.250,109.436,-101.257
0.681,-0.385,0.354,-42.053,112.915,-96.191
0.633,-0.383,0.307,-34.546,116.638,-90.393
0.613,-0.355,0.246,-26.855,119.995,-84.717
0.592,-0.349,0.187,-27.039,121.338,-80.688
0.568,-0.359,0.143,-33.630,120.544,-76.050
0.527,-0.377,0.110,-41.626,115.784,-73.425
0.503,-0.420,0.089,-45.471,108.154,-72.998
0.484,-0.444,0.083,-44.800,102.783,-69.214
0.443,-0.475,0.087,-45.166,99.426,-62.744
0.426,-0.502,0.111,-44.617,98.022,-55.481
0.424,-0.513,0.137,-40.344,97.229,-48.950
0.400,-0.534,0.135,-35.156,93.933,-44.495
0.382,-0.529,0.101,-31.128,87.708,-41.504
0.374,-0.520,0.057,-26.733,77.393,-40.466
0.387,-0.529,0.025,-22.583,65.491,-41.321
0.389,-0.546,0.001,-21.179,54.138,-41.260
0.359,-0.556,-0.016,-21.179,42.114,-41.321
0.344,-0.579,-0.002,-17.761,30.151,-41.443
0.357,-0.589,0.026,-13.489,22.522,-39.490
0.386,-0.597,0.039,-11.414,20.508,-34.180
0.388,-0.614,0.053,-12.268,22.156,-26.978
0.395,-0.617,0.045,-13.672,23.132,-20.142
0.403,-0.623,0.038,-12.634,22.095,-15.198
0.434,-0.621,0.015,-10.864,19.348,-12.024
0.471,-0.600,-0.011,-8.972,15.991,-8.667
0.496,-0.579,-0.024,-8.484,13.794,-4.883
0.524,-0.567,-0.034,-10.010,13.733,-0.671
0.556,-0.552,-0.038,-13.367,15.381,4.578
0.613,-0.541,-0.031,-15.564,16.418,9.155
0.663,-0.533,-0.008,-15.747,16.357,11.780
0.692,-0.527,-0.001,-14.648,15.625,12.451
0.708,-0.510,-0.004,-11.597,14.282,11.536
0.718,-0.512,-0.011,-7.751,12.146,8.911
0.718,-0.514,-0.032,-4.822,9.766,6.104
0.715,-0.500,-0.061,-2.380,7.385,4.944
0.724,-0.494,-0.066,-1.465,6.531,5.310
0.750,-0.508,-0.049,-3.784,7.935,6.653
0.755,-0.517,-0.043,-7.446,10.132,8.850
0.768,-0.516,-0.043,-7.690,11.414,10.437
0.788,-0.509,-0.047,-5.005,10.559,10.498
0.805,-0.499,-0.061,-2.075,8.789,9.155
0.809,-0.503,-0.067,-0.488,7.385,7.080
0.814,-0.500,-0.078,0.793,5.371,5.249
0.822,-0.500,-0.089,2.808,3.113,2.808
0.814,-0.501,-0.101,4.211,1.953,0.671
0.821,-0.501,-0.117,4.150,1.038,0.183
0.829,-0.503,-0.127,4.089,0.977,0.244
0.826,-0.511,-0.126,3.906,0.977,1.221
0.828,-0.508,-0.131,2.930,0.977,2.930
0.831,-0.503,-0.135,2.747,1.282,4.761
0.831,-0.501,-0.141,2.136,1.770,6.714
0.837,-0.498,-0.150,0.427,1.221,7.996
0.850,-0.492,-0.144,-0.488,0.427,8.362
0.865,-0.500,-0.122,-1.160,-0.610,7.690
0.872,-0.497,-0.110,-1.709,-1.343,7.629
0.860,-0.494,-0.099,-1.648,-0.854,8.118
0.857,-0.489,-0.096,-1.526,-0.305,7.996
0.857,-0.489,-0.095,-1.404,-0.305,7.629
0.857,-0.491,-0.094,-1.587,-0.366,7.446
0.861,-0.490,-0.095,-0.977,-0.916,7.324
0.869,-0.485,-0.097,-0.061,-1.404,7.446
0.872,-0.480,-0.093,-0.183,-1.770,7.324
0.874,-0.478,-0.084,-0.916,-1.526,7.568
0.864,-0.481,-0.075,-1.282,-1.099,7.874
0.854,-0.477,-0.069,-0.732,-1.648,7.263
0.870,-0.470,-0.061,1.465,-2.808,5.432
0.877,-0.474,-0.058,3.418,-3.296,3.723
0.875,-0.472,-0.071,3.296,-2.747,3.479
0.872,-0.470,-0.083,3.357,-2.380,3.540
0.867,-0.465,-0.088,4.089,-2.930,3.174
0.883,-0.466,-0.082,3.784,-2.747,3.662
0.891,-0.456,-0.079,2.441,-1.160,5.249
0.892,-0.454,-0.073,1.160,0.427,6.165
0.883,-0.451,-0.070,0.427,0.732,6.165
0.880,-0.456,-0.068,1.038,-0.244,4.822
0.879,-0.463,-0.053,2.747,-1.587,3.174
0.866,-0.468,-0.057,4.211,-1.831,2.136
0.852,-0.473,-0.075,5.676,-1.404,1.770
0.846,-0.465,-0.095,6.409,-1.038,2.197
0.857,-0.460,-0.097,6.165,-0.183,3.540
0.846,-0.464,-0.083,3.723,1.526,5.798
0.831,-0.464,-0.083,1.221,2.747,7.751
0.830,-0.462,-0.086,2.258,2.563,8.118
0.842,-0.454,-0.093,3.784,1.221,8.057
0.856,-0.450,-0.096,2.991,0.977,8.301
0.856,-0.449,-0.090,1.709,1.221,9.399

1.713,0.363,0.688,6.104,-65.002,-11.780
1.850,0.358,0.704,25.146,-81.360,-37.537
1.884,0.450,0.618,47.913,-71.655,-48.645
1.927,0.498,0.539,47.180,-63.660,-58.533
2.034,0.501,0.544,34.119,-41.626,-62.256
1.981,0.510,0.532,12.268,-18.860,-60.669
1.975,0.480,0.554,-7.080,7.751,-59.143
1.947,0.444,0.569,-21.484,35.339,-57.556
1.886,0.442,0.527,-29.785,57.434,-58.960
1.799,0.423,0.482,-31.067,73.364,-64.819
1.718,0.402,0.421,-32.471,82.092,-71.777
1.607,0.379,0.345,-36.072,84.229,-77.087
1.579,0.355,0.323,-39.185,80.872,-85.022
1.511,0.288,0.326,-39.856,69.702,-95.581
1.479,0.257,0.324,-40.894,63.660,-100.098
1.428,0.243,0.322,-45.471,60.547,-101.379
1.383,0.205,0.370,-51.758,58.533,-102.478
1.358,0.172,0.425,-57.068,60.181,-101.746
1.335,0.162,0.464,-61.523,66.345,-99.915
1.279,0.124,0.506,-64.758,74.097,-99.731
1.224,0.075,0.534,-67.444,81.909,-100.708
1.160,0.032,0.536,-68.298,89.233,-101.807
1.081,-0.015,0.512,-66.956,93.750,-104.431
1.007,-0.064,0.466,-64.941,94.238,-108.093
0.965,-0.088,0.409,-61.523,92.346,-110.352
0.941,-0.118,0.373,-58.289,88.806,-112.183
0.911,-0.155,0.352,-57.678,86.304,-113.220
0.893,-0.190,0.350,-57.312,86.487,-112.610
0.873,-0.212,0.349,-55.481,88.867,-110.474
0.822,-0.238,0.337,-56.274,91.980,-108.276
0.771,-0.251,0.304,-58.167,95.581,-104.736
0.735,-0.271,0.291,-59.387,100.464,-98.755
0.701,-0.305,0.291,-62.195,105.896,-91.797
0.689,-0.321,0.291,-65.308,109.009,-84.961
0.663,-0.334,0.277,-65.735,107.422,-81.848
0.650,-0.339,0.250,-63.660,102.051,-81.360
0.651,-0.338,0.239,-61.523,95.398,-82.153
0.642,-0.362,0.233,-61.035,88.379,-83.984
0.625,-0.409,0.259,-58.960,86.121,-83.862
0.586,-0.469,0.261,-57.068,86.365,-81.848
0.543,-0.500,0.222,-53.711,86.243,-78.369
0.525,-0.516,0.161,-47.852,84.045,-74.646
0.513,-0.516,0.125,-42.480,80.872,-69.214
0.505,-0.510,0.098,-42.419,78.735,-62.622
0.506,-0.512,0.089,-46.082,76.538,-56.519
0.498,-0.532,0.115,-49.561,71.899,-52.490
0.486,-0.551,0.145,-49.500,63.354,-50.903
0.495,-0.563,0.164,-43.579,51.575,-52.673
0.490,-0.582,0.178,-33.447,40.588,-56.213
0.471,-0.574,0.159,-22.888,33.142,-57.373
0.459,-0.562,0.113,-15.991,28.687,-56.213
0.446,-0.569,0.078,-14.709,27.893,-52.979
0.439,-0.586,0.044,-17.334,29.236,-46.631
0.450,-0.595,0.017,-20.935,30.945,-38.025
0.463,-0.600,0.015,-23.865,32.532,-30.457
0.465,-0.595,0.020,-25.391,33.203,-23.987
0.456,-0.592,0.031,-24.719,32.043,-19.287
0.456,-0.589,0.036,-22.827,28.198,-16.785
0.466,-0.579,0.022,-19.592,24.231,-14.954
0.472,-0.581,-0.000,-15.686,21.973,-12.695
0.494,-0.592,-0.022,-13.855,21.423,-9.277
0.512,-0.578,-0.045,-13.794,21.057,-4.761
0.552,-0.550,-0.041,-12.695,20.020,-1.221
0.604,-0.533,-0.014,-11.963,18.555,1.038
0.638,-0.533,0.011,-12.634,16.724,2.441
0.653,-0.533,0.022,-12.329,15.503,2.869
0.658,-0.535,0.013,-10.437,13.123,1.953
0.670,-0.541,0.003,-7.263,9.949,0.671
0.689,-0.542,-0.010,-4.822,7.629,0.732
0.702,-0.534,-0.015,-4.211,7.202,1.770
0.709,-0.529,-0.015,-4.395,6.653,2.747
0.727,-0.528,-0.030,-4.028,5.432,2.380
0.734,-0.534,-0.032,-2.747,4.333,1.709
0.736,-0.536,-0.034,-1.648,2.930,1.831
0.758,-0.529,-0.037,-0.244,1.404,2.014
0.782,-0.523,-0.026,1.770,0.610,1.465
0.802,-0.528,-0.016,3.296,0.427,0.671
0.815,-0.527,-0.030,4.456,0.549,-0.183
0.807,-0.521,-0.048,6.104,0.793,-0.244
0.811,-0.522,-0.066,7.019,0.488,-0.854
0.827,-0.517,-0.068,7.446,-0.427,-1.160
0.845,-0.501,-0.066,7.019,0.061,-0.061
0.851,-0.500,-0.062,5.127,1.892,2.014
0.843,-0.505,-0.069,2.014,4.089,3.418
0.831,-0.518,-0.081,0.610,4.089,3.052
0.831,-0.523,-0.092,2.808,2.380,1.770
0.843,-0.523,-0.098,5.554,1.038,1.038
0.851,-0.513,-0.102,5.188,1.221,2.075
0.842,-0.505,-0.099,3.357,2.380,3.784
0.844,-0.512,-0.085,2.136,2.686,4.700
0.856,-0.515,-0.074,2.197,1.709,4.517
0.874,-0.522,-0.067,3.723,1.038,3.601
0.869,-0.512,-0.078,4.456,2.014,3.845
0.861,-0.506,-0.096,3.967,3.052,4.395
0.857,-0.504,-0.105,3.296,3.235,4.700
0.854,-0.498,-0.111,3.174,1.709,5.005
0.863,-0.486,-0.101,3.601,-0.549,4.395
0.879,-0.477,-0.080,4.211,-1.282,3.357
0.860,-0.484,-0.073,3.357,-0.122,2.625
0.832,-0.490,-0.094,2.136,0.854,2.197
0.823,-0.484,-0.116,3.601,-0.305,1.709
0.841,-0.469,-0.114,5.554,-2.747,0.977
0.869,-0.465,-0.083,4.517,-3.296,0.366
0.867,-0.474,-0.061,1.099,-0.977,0.977
0.847,-0.488,-0.061,-1.282,1.709,2.014
0.820,-0.503,-0.079,-0.610,2.014,1.831
0.797,-0.512,-0.100,1.831,-0.183,0.427
0.789,-0.513,-0.099,3.906,-3.357,-0.366
0.800,-0.511,-0.079,4.700,-6.226,-0.244
0.816,-0.508,-0.056,3.845,-6.592,0.793
0.814,-0.512,-0.040,3.357,-5.859,1.892
0.808,-0.518,-0.032,3.662,-4.822,3.235
0.818,-0.510,-0.044,5.188,-4.028,3.723
0.826,-0.509,-0.047,6.653,-4.089,2.991
0.818,-0.518,-0.048,6.409,-3.479,3.113
0.814,-0.521,-0.056,5.310,-1.770,4.578
0.807,-0.520,-0.058,6.104,-1.648,5.554
0.815,-0.516,-0.053,7.568,-3.174,5.493
0.843,-0.517,-0.048,8.911,-4.456,5.066

1.803,0.127,0.673,7.202,5.859,-56.396
1.813,0.132,0.679,1.465,19.775,-58.594
1.812,0.131,0.674,-0.244,31.677,-61.951
1.830,0.154,0.664,-1.160,44.312,-65.002
1.840,0.188,0.640,-4.211,56.458,-66.956
1.810,0.201,0.624,-8.667,66.101,-69.031
1.788,0.204,0.627,-13.916,76.965,-71.655
1.760,0.177,0.658,-17.395,86.243,-74.463
1.670,0.162,0.630,-22.766,91.919,-77.332
1.595,0.123,0.635,-28.015,98.328,-79.407
1.449,0.080,0.607,-33.081,99.182,-83.252
1.376,0.021,0.591,-34.180,99.976,-87.769
1.309,-0.029,0.567,-32.837,99.243,-91.736
1.253,-0.057,0.533,-32.166,97.290,-93.506
1.226,-0.099,0.530,-32.288,97.473,-93.994
1.192,-0.135,0.542,-33.325,99.365,-94.482
1.149,-0.171,0.544,-32.593,103.210,-95.093
1.083,-0.215,0.535,-29.480,108.826,-96.069
1.014,-0.260,0.521,-26.733,116.760,-95.276
0.943,-0.282,0.472,-24.780,124.023,-92.590
0.884,-0.304,0.418,-22.949,129.883,-89.111
0.844,-0.306,0.366,-23.437,135.010,-83.252
0.828,-0.296,0.330,-26.978,137.207,-77.087
0.802,-0.289,0.297,-32.288,137.878,-73.547
0.747,-0.312,0.293,-38.574,138.672,-72.388
0.657,-0.357,0.297,-45.532,139.465,-71.106
0.589,-0.393,0.290,-48.462,139.893,-68.787
0.536,-0.409,0.254,-44.739,139.465,-66.650
0.505,-0.418,0.220,-38.269,137.024,-64.514
0.495,-0.429,0.195,-35.706,131.470,-63.110
0.478,-0.424,0.171,-34.912,124.023,-62.561
0.447,-0.440,0.134,-32.410,116.333,-63.782
0.417,-0.474,0.087,-29.724,111.267,-63.538
0.373,-0.476,0.065,-29.846,107.971,-59.021
0.360,-0.484,0.043,-31.189,105.469,-52.856
0.357,-0.487,0.022,-31.433,102.844,-46.143
0.365,-0.488,0.017,-31.921,97.900,-40.405
0.370,-0.484,-0.006,-32.288,89.661,-38.452
0.384,-0.491,-0.041,-31.616,78.979,-39.490
0.389,-0.501,-0.053,-30.029,67.993,-39.978
0.385,-0.498,-0.062,-29.419,57.983,-39.368
0.377,-0.500,-0.070,-28.442,48.218,-38.574
0.376,-0.503,-0.059,-27.344,41.077,-35.645
0.402,-0.510,-0.036,-27.832,36.499,-31.067
0.441,-0.517,-0.012,-28.748,34.424,-26.367
0.465,-0.520,-0.025,-27.283,34.485,-22.583
0.489,-0.530,-0.036,-23.682,36.621,-18.372
0.491,-0.527,-0.055,-22.278,37.109,-14.099
0.500,-0.524,-0.078,-23.621,35.645,-9.949
0.511,-0.519,-0.086,-24.536,33.569,-5.981
0.520,-0.516,-0.075,-24.963,29.297,-3.418
0.541,-0.516,-0.062,-25.146,23.621,-2.563
0.582,-0.518,-0.056,-23.743,17.883,-2.991
0.606,-0.526,-0.057,-20.996,14.099,-3.296
0.630,-0.524,-0.057,-17.944,11.963,-2.686
0.663,-0.512,-0.052,-16.052,11.780,-1.648
0.682,-0.508,-0.047,-14.404,12.756,-0.427
0.694,-0.509,-0.051,-12.512,14.954,1.099
0.703,-0.503,-0.067,-10.559,16.541,2.380
0.717,-0.498,-0.100,-7.935,16.418,2.380
0.745,-0.495,-0.138,-6.104,15.320,1.953
0.746,-0.482,-0.147,-6.287,13.916,2.625
0.760,-0.485,-0.138,-8.240,11.597,2.502
0.789,-0.494,-0.119,-9.155,9.338,1.587
0.795,-0.490,-0.104,-6.897,7.874,0.916
0.803,-0.491,-0.106,-3.540,6.226,-1.343
0.812,-0.498,-0.113,-0.610,5.493,-3.357
0.800,-0.503,-0.127,1.343,5.554,-4.578
0.783,-0.509,-0.149,2.197,5.249,-5.493
0.772,-0.514,-0.170,2.869,4.456,-5.676
0.773,-0.516,-0.179,3.235,3.418,-4.883
0.777,-0.518,-0.173,2.380,2.136,-3.784
0.778,-0.519,-0.171,1.099,0.916,-3.052
0.795,-0.510,-0.173,1.526,-0.366,-2.502
0.803,-0.503,-0.172,2.625,-1.465,-2.502
0.800,-0.497,-0.178,2.075,-2.075,-2.380
0.805,-0.502,-0.178,1.282,-1.038,-1.038
0.812,-0.501,-0.180,-0.854,0.488,0.854
0.821,-0.494,-0.169,-2.197,1.160,2.197
0.839,-0.491,-0.145,-2.075,2.502,3.113
0.846,-0.488,-0.141,-2.197,3.052,3.113
0.845,-0.488,-0.147,-1.526,2.563,1.831
0.828,-0.494,-0.161,0.671,0.488,-0.366
0.822,-0.498,-0.179,2.686,-2.441,-2.258
